Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Year
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,(251) 949-3400,Acute Care Hospitals,Proprietary,True,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,2020
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,2020
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,Acute Care Hospitals,Government - Hospital District or Authority,True,True,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,2020
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Acute Care Hospitals,Proprietary,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,(251) 246-9021,Acute Care Hospitals,Proprietary,True,False,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Not Available,2020
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,(205) 338-3301,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,2020
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,(205) 877-1000,Acute Care Hospitals,Proprietary,True,True,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,2020
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,(256) 249-5000,Acute Care Hospitals,Government - Hospital District or Authority,True,False,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,2020
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,(334) 732-3000,Acute Care Hospitals,Government - State,True,True,5,Not Available,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Not Available,2020
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,(251) 415-1000,Childrens,Government - State,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
014015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,CRENSHAW,(334) 335-5040,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
014016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",CULLMAN,AL,35055,CULLMAN,(256) 739-1239,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,(907) 262-4404,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,2020
021304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,PETERSBURG BOROUGH,(907) 772-4291,Critical Access Hospitals,Government - Local,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,WRANGELL CITY AND BOROUGH,(907) 874-7000,Critical Access Hospitals,Government - Local,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
021307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,VALDEZ-CORDOVA,(907) 424-8000,Critical Access Hospitals,Government - Local,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
021308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,(907) 443-3311,Critical Access Hospitals,Tribal,True,True,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,2020
021309,BRISTOL BAY AREA HEALTH CORPORATION,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,(907) 842-5201,Critical Access Hospitals,Voluntary non-profit - Private,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,(602) 239-2000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,2020
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,(520) 873-3000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,2020
030037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,MARICOPA,(602) 251-8156,Acute Care Hospitals,Proprietary,True,True,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,2020
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,(928) 537-6399,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,GRAHAM,(928) 348-4000,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,Not Available,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,2020
030085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,PIMA,(520) 469-8100,Acute Care Hospitals,Proprietary,True,True,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,2020
030088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,(480) 321-2000,Acute Care Hospitals,Voluntary non-profit - Private,False,True,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,2020
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,(623) 879-6100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,2020
030093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,MARICOPA,(623) 524-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,2020
030103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,MARICOPA,(480) 342-4201,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,2020
030105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,(480) 854-5050,Acute Care Hospitals,Voluntary non-profit - Private,False,True,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Not Available,Not Available,Not Available,2020
030107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,MARICOPA,(480) 832-4770,Acute Care Hospitals,Physician,False,True,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,2020
030114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,PIMA,(520) 901-3549,Acute Care Hospitals,Proprietary,True,True,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
030117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,MOHAVE,(928) 788-2273,Acute Care Hospitals,Proprietary,True,True,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,2020
031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,APACHE,(928) 333-4368,Critical Access Hospitals,Voluntary non-profit - Private,True,False,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,2020
031318,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,GILA,(928) 474-3222,Critical Access Hospitals,Voluntary non-profit - Other,False,True,4,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,2020
034013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",1800 EAST VAN BUREN,PHOENIX,AZ,85006,MARICOPA,(602) 251-8535,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
034031,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,MARICOPA,(602) 455-5700,Psychiatric,Voluntary non-profit - Other,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
040004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 463-5113,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
040007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,(501) 552-3000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,2020
040016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,PULASKI,(501) 686-5000,Acute Care Hospitals,Government - State,True,True,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,2020
040018,BAPTIST HEALTH VAN BUREN,211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR,72956,CRAWFORD,(479) 474-3401,Acute Care Hospitals,Proprietary,True,True,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,2020
040019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,ST. FRANCIS,(870) 261-0000,Acute Care Hospitals,Proprietary,True,True,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
040027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,BAXTER,(870) 508-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,2020
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,PULASKI,(501) 202-3000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,2020
040050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,(870) 836-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
040051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,(870) 367-2411,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,2020
040069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,(870) 838-7300,Acute Care Hospitals,Government - Local,True,True,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,2020
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,HOT SPRING,(501) 332-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
040078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,(501) 321-1000,Acute Care Hospitals,Proprietary,True,True,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,2020
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE,LITTLE ROCK,AR,72205,PULASKI,(501) 202-2000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,2020
040132,LEVI HOSPITAL,300 PROSPECT AVE,HOT SPRINGS,AR,71901,GARLAND,(501) 624-1281,Acute Care Hospitals,Voluntary non-profit - Private,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
040134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,(501) 219-7000,Acute Care Hospitals,Proprietary,True,True,5,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,2020
040137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,(501) 552-7100,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
040152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 571-7002,Acute Care Hospitals,Proprietary,True,True,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,2020
041300,NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY,PARIS,AR,72855,LOGAN,(479) 963-6101,Critical Access Hospitals,Voluntary non-profit - Church,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,2020
041302,DARDANELLE HOSPITAL,200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,(479) 229-4677,Critical Access Hospitals,Government - Local,True,False,2,Not Available,Not Available,Below the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
041307,CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,72396,CROSS,(870) 238-3300,Critical Access Hospitals,Voluntary non-profit - Private,True,True,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available,2020
041316,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Critical Access Hospitals,Government - Local,True,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,2020
041323,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,ASHLEY,(870) 364-4111,Critical Access Hospitals,Voluntary non-profit - Private,True,False,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Above the national average,Below the national average,2020
041326,DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH,DUMAS,AR,71639,DESHA,(870) 382-4303,Critical Access Hospitals,Voluntary non-profit - Private,True,False,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Above the national average,Not Available,2020
041327,BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,71671,BRADLEY,(870) 226-3731,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,2020
041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,(870) 265-5351,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Below the national average,2020
041329,MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,72616,CARROLL,(870) 423-3355,Critical Access Hospitals,Voluntary non-profit - Church,True,True,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,2020
044004,VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 521-5731,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
044005,"BRIDGEWAY INC, THE",21 BRIDGEWAY ROAD,NORTH LITTLE ROCK,AR,72113,PULASKI,(501) 771-1500,Psychiatric,Proprietary,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
044011,ARKANSAS STATE HOSPITAL,305 S PALM STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 686-9000,Psychiatric,Government - State,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
044017,UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,MAUMELLE,AR,72113,PULASKI,(501) 803-3388,Psychiatric,Voluntary non-profit - Private,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
050006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,2020
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,(209) 223-7500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,Acute Care Hospitals,Proprietary,True,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,2020
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,Acute Care Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,2020
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
050102,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",3865 JACKSON STREET,RIVERSIDE,CA,92503,RIVERSIDE,(951) 688-2211,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,2020
050108,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,(916) 733-8999,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,2020
050115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 EAST VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,(760) 739-3000,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,2020
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,(209) 823-3111,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,(209) 944-5550,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,2020
050128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,(760) 724-8411,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,2020
050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,(323) 462-2271,Acute Care Hospitals,Proprietary,True,True,2,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,2020
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 461-6007,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,2020
050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,(831) 624-5311,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,2020
050158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,91436,LOS ANGELES,(818) 995-5000,Acute Care Hospitals,Proprietary,False,True,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,2020
