,review,sentiment_score
56,"Excellent cast, story line, performances.  ",1
607,It's just painful!  ,0
771,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1
936,The two main characters may be two of the most believable children I ever saw put on screen.  ,1
949,Simply beautiful.  ,1
435,"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",1
876,You could drive a semi truck into these holes!  ,0
410,A world better than 95% of the garbage in the theatres today.  ,1
330,"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",0
68,This movie totally grates on my nerves.  ,0
628,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,1
509,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0
284,When I saw it in the theater I thought I was going to be sick.  ,0
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0
340,But it wasn't anything at all just one big yawn...  ,0
103,"It was too predictable, even for a chick flick.  ",0
355,I must say I have taped most of the episodes and i find myself watching them over and over again.  ,1
66,There is a totally unnecessary train/roller coaster scene.  ,0
33,"Actually, the graphics were good at the time.  ",1
463,But the premise of the film was so ridiculous: that the President of the U.S.  ,0
956,But it picked up speed and got right to the point.  ,1
881,I was bored throughout the whole damn thing.  ,0
683,A good film by a great director!  ,1
141,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0
669,Then the film just dropped the ball.  ,0
321,There is a brilliant twist ending.  ,1
398,Non-linear narration thus many flashbacks and every part are articulated quite well.  ,1
513,This is probably the most irritating show I have ever seen in my entire life.  ,0
490,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1
504,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,1
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1
702,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",0
934,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1
129,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
925,Not easy to watch.  ,0
931,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1
54,"Long, whiny and pointless.  ",0
485,"This movie was kind of long in length, but I enjoyed every minute of it.  ",1
636,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
699,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0
621,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1
229,"I was totally fascinated by the music, the dancing... everything.  ",1
231,"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0
372,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0
334,In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,0
646,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0
915,I didn't realize how wonderful the short really is until the last two scenes.  ,1
850,Now imagine that every single one of those decisions was made wrong.  ,0
239,You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0
110,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1
724,"Seriously, it's not worth wasting your, or your kid's time on.  ",0
769,"It's a fresh, subtle, and rather sublime effect.  ",1
269,"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",1
825,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1
818,"The acting, as you'd expect from this cast, is top notch.  ",1
780,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0
600,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
82,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1
827,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1
652,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1
26,Graphics is far from the best part of the game.  ,0
233,"Woa, talk about awful.  ",0
87,The Wind and the Lion is well written and superbly acted.  ,1
620,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
547,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0
999,All in all its an insult to one's intelligence and a huge waste of money.  ,0
254,The concert sequences just sucked.  ,0
159,"Yeah, the movie pretty much sucked.  ",0
859,"The best scene in the movie is at the end, but I won't spoil it.  ",1
765,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1
29,It is an insane game.  ,1
304,"his performance, as awarded, was stunning.  ",1
953,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  ",0
674,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1
879,Dee Snider just plain sucks.  ,0
587,There is no plot here to keep you going in the first place.  ,0
370,The jerky camera movements were also annoying.  ,0
286,"The plot - well, I said I'd let that one go.  ",0
854,"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  ",0
845,"Call me a nut, but I think this is one of the best movies ever.  ",1
108,An hour and a half I wish I could bring back.  ,0
295,"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",1
409,Vivian Schilling did an excellent job with the script.  ,1
798,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1
550,I don't think there are any redeeming qualities in this remake.  ,0
473,The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0
333,Started watching this but didn't believe in any of the characters.  ,0
710,The stories were as unbelievable as the actors.  ,0
364,Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,1
688,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0
937,"They are so easy to love, but even more easy to identify with.  ",1
439,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1
902,"As for the killer, don't expect anything original or even remotely frightening.  ",0
466,"Whatever the producer was going for, he missed entirely.  ",0
152,It was so BORING!  ,0
591,Which is precisely why I am giving it such a bad review!  ,0
965,The incredible soundtrack truly captures the essence of the film.  ,1
349,The guy who said he's had better dialogue with his potted plants has it right.  ,0
153,No plot whatsoever!  ,0
203,His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1
389,") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",1
308,I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0
114,The directing seems too pretentious.  ,0
106,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1
107,"I love Lane, but I've never seen her in a movie this lousy.  ",0
720,That's how I'd describe this painfully dreary time-waster of a film.  ,0
973,"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.  ",0
13,It Was So Cool.  ,1
263,"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1
194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
661,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
991,Fans of the genre will be in heaven.  ,1
675,Julian Fellowes has triumphed again.  ,1
183,Maybe there would be a reasonable explanation for this atrocity.  ,0
678,This is an excellent film.  ,1
728,Very nice and relaxing late night viewing.  ,1
755,Nine out of ten for a truly lovely film.  ,1
777,The film has an ultra-cheap look to it.  ,0
747,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1
503,The rest of the cast also play well.  ,1
776,Why was this film made?  ,0
977,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  ",0
243,"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",1
943,Go rent it.  ,1
908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0
940,The story is also both funny and poignant at times.  ,1
76,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",1
615,VERY funny!  ,1
530,there are so many problems i dont know where to start.  ,0
698,It's a case of 'so bad it is laughable'.  ,0
807,Editing: The editing of this film was phenomenal in my opinion.  ,1
725,"Avoid, avoid, avoid!  ",0
972,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0
73,There are some generally great things in it.  ,1
576,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
316,It even has its sweet moments.  ,1
285,Summary: The witticisms weren't witty.  ,0
387,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
236,"The worst, sappiest dialogue... I could go on and on.  ",0
465,The only thing worse than Taylor's acting was Stanwyck's singing.  ,0
650,Nothing short of magnificent photography/cinematography in this film.  ,1
906,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0
967,Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.  ,1
641,It's a campy sort of film that's a joy to watch.  ,1
210,His performance is simply genius.  ,1
830,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1
206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0
41,I wasn't the least bit interested.  ,0
968,"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  ",1
814,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1
680,It was also the right balance of war and love.  ,1
245,"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0
249,"Bad script, bad direction and horrible acting make this one plain bad!  ",0
360,This is one of the best movies out there that shows such strong sibling bond for each other.  ,1
899,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1
390,"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",1
462,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0
207,"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0
723,"It's an empty, hollow shell of a movie.  ",0
444,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0
185,Highly unrecommended.  ,0
175,Everything is appalling.  ,0
757,This is one of the best Italian thrillers of the early 70's.  ,1
726,It will drive you barking mad!  ,0
221,There are the usual Hitchcock logic flaws.  ,0
184,Not a pleasant voyage of self-discovery.  ,0
635,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
323,"The ending is so, SO perfect... you'll shed a tear.  ",1
632,I'll give this film 10 out of 10!  ,1
342,It is very educational for children 1 to 8 years old.  ,1
432,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,0
866,"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  ",1
132,"This was a poor remake of ""My Best Friends Wedding"".  ",0
885,A piece of cinematic garbage captured on celluloid.  ,0
900,"Otherwise, don't even waste your time on this.  ",0
329,This movie is terrible.  ,0
868,Also the story and acting were weak.  ,0
252,The soundtrack sucked.  ,0
993,It looked like a wonderful story.  ,1
350,Everything about this movie is stupid.  ,0
909,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0
659,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1
117,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0
442,"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",0
242,"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",1
617,The characters are interesting and you really care for them.  ,1
34,Today the graphics are crap.  ,0
532,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",1
609,There's also enough hypocrisy in this film to make me vomit.  ,0
964,"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.  ",1
356,Now you know why I gave it a 10+!  ,1
235,It was just too horrible.  ,0
223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0
383,"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1
147,"A truly, truly bad film.  ",0
975,"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  ",1
430,I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0
753,A very charming film with wonderful sentiment and heart.  ,1
514,It is indescribably the most annoying and idiotic show I have ever seen.  ,0
852,The acting is beyond abysmal.  ,0
369,"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0
920,The story line is totally predictable.  ,0
711,Lame would be the best way to describe it.  ,0
997,"In a word, it is embarrassing.  ",0
887,"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  ",0
800,"In fact, this stinker smells like a direct-to-video release.  ",0
856,"It's dumb and pointless, and a complete waste of time.  ",0
62,I do think Tom Hanks is a good actor.  ,1
474,"I was very uneasy with how bad this movie was, but not scared at all.  ",0
101,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0
241,This would not even be good as a made for TV flick.  ,0
488,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
589,"Beware: this is not a trashy cult movie, this is trash -period!  ",0
707,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0
851,The dialogue is atrocious.  ,0
46,The story itself is just predictable and lazy.  ,0
727,The transfers are very good.  ,1
788,10/10  ,1
160,THERE IS NO PLOT OR STORYLINE!!  ,0
590,I can't believe there's even a sequel to this!  ,0
541,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1
784,This movie is so awesome!  ,1
538,there is no real plot.  ,0
795,It was clear that she had the range and ability to pull off this part.  ,1
122,The music in the film is really nice too.  ,1
785,"I loved it, it was really scary.  ",1
733,"The point is the journey, a journey that touches every member of the family.  ",1
479,"Of course, the acting is blah.  ",0
743,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1
994,I never walked out of a movie faster.  ,0
292,An AMAZING finale to possibly the BEST trilogy of all time!  ,1
553,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
10,And those baby owls were adorable.  ,1
401,"For people who are first timers in film making, I think they did an excellent job!!  ",1
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0
748,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1
113,"), and sometimes it was so embarrassing that I had to look away.  ",0
557,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0
569,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",1
426,"I wish I could enter negative values, admins?  ",0
693,I advise you to look out for it.  ,1
521,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0
802,Star Trek V The final Frontier is the worst in the series.  ,0
604,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
201,The movie I received was a great quality film for it's age.  ,1
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
186,"If this premise sound stupid, that's because it is.  ",0
510,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0
83,"Overall, the film is interesting and thought-provoking.  ",1
923,"Bad characters, bad story and bad acting.  ",0
959,I have recommended it to friends.  ,1
588,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1
337,By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,0
265,"All things considered, a job very well done.  ",1
760,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1
878,She's poised and amazing.  ,1
148,"The acting is terrible, and the writing is worse.  ",0
586,Is it possible for a movie to get any worse than this?  ,0
296,Three of the most visually appealing movies i've ever seen.  ,1
834,Very disappointed and wondered how it could be in the Oscar shortlist.  ,0
352,It is shameful.  ,0
275,"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",1
647,The least said about the acting the better.  ,0
212,""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0
978,"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",1
237,But what really made it unwatchable was the direction.  ,0
662,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",1
157,I had to walk out of the theatre for a few minutes just to get some relief!  ,0
897,"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  ",1
524,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0
799,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0
345,Babie Bop is very cute.  ,1
450,"Wow, what a bad film.  ",0
196,"""You'll love it!  ",1
630,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",1
764,This movie is also revealing.  ,1
907,Hated it.  ,0
849,It's like a bad two hour TV movie.  ,0
536,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0
348,It's just lame.  ,0
192,"This movie suffered because of the writing, it needed more suspense.  ",0
763,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
75,"The suspense builders were good, & just cross the line from G to PG.  ",1
910,I highly doubt that anyone could ever like this trash.  ,0
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0
980,Judith Light is one of my favorite actresses and I think she does a superb job in this film!  ,1
665,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
779,None of them are engaging or exciting.  ,0
381,"God, and I can never get that 90 minutes back!  ",0
468,I knew when I saw the film that more great things were to come from this gifted actor.  ,1
407,I couldn't take them seriously.  ,0
839,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0
95,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1
573,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0
69,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0
846,Great character actors Telly Savalas and Peter Boyle.  ,1
443,The last 15 minutes of movie are also not bad as well.  ,1
855,"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  ",0
844,""" With great sound effects, and impressive special effects, I can't recommend this movie enough.  ",1
719,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0
919,"Characters are one-dimensional, even the good guys and especially the bad guys.  ",0
168,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1
361,"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1
78,Alexander Nevsky is a great film.  ,1
247,"Yet, I enjoy watching it.  ",1
244,"Regrettably, the film fails.  ",0
165,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0
61,All in all I give this one a resounding 9 out of 10.  ,1
732,") a happy, wonderful, feel good ending!  ",1
427,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0
960,I was particularly pleased with the acting ability of Dwight Schultz.  ,1
424,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0
374,"If you see it, you should probably just leave it on the shelf.  ",0
829,Trumbull on I LOVE LUCY).  ,1
240,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0
378,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0
419,"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0
987,This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,1
892,It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  ,0
826,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1
704,DELETE this film from your mind!  ,0
312,This is such a fun and funny movie.  ,1
790,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1
708,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
433,It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0
205,I really don't see how anyone could enjoy this movie.  ,0
313,Highly entertaining at all angles.  ,1
778,The result is a film that just don't look right.  ,0
522,Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0
310,"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0
701,How awful she is!  ,0
577,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1
97,The cast of veteran actors are more than just a nostalgia trip.  ,1
481,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0
119,I really liked that.  ,1
668,"Speaking of the music, it is unbearably predictably and kitchy.  ",0
847,"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  ",0
315,"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1
995,I just got bored watching Jessice Lange take her clothes off!  ,0
817,You will leave the theater wanting to go out and dance under the stars.  ,1
163,I don't think I've ever gone to a movie and disliked it as much.  ,0
787,If you want a real scare rent this one!  ,1
346,The kids are very cool too.  ,1
156,Worst hour and a half of my life!Oh my gosh!  ,0
992,Lange had become a great actress.  ,1
144,This is definitely a cult classic well worth viewing and sharing with others.  ,1
80,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",0
901,This one just fails to create any real suspense.  ,0
397,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0
781,The Foreigner is not worth one second of your time.  ,0
