,review,sentiment_score
309,"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",0
367,"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",0
975,"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  ",1
1636,These are fabulous!,1
2786,We will not be coming back.,0
1527,The noise shield is incrediable.,1
459,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",0
530,there are so many problems i dont know where to start.  ,0
1613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
2969,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
1864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
1878,Does not work for listening to music with the cingular 8125.,0
2938,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
1366,Waste of money.,0
1905,Not nearly as good looking as the AMAZON picture makes it look.,0
2103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
1135,The majority of the Logitech earbud headsets failed.,0
2684,Damn good steak.,1
860,"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  ",1
2054,The portion was huge!,1
251,The cinematography-if it can be called that-sucked.  ,0
1240,Big Disappointment with calendar sync.,0
2414,I can take a little bad service but the food sucks.,0
427,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0
2913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0
2562,A good time!,1
2471,The one down note is the ventilation could use some upgrading.,0
378,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0
2145,The bathrooms are clean and the place itself is well decorated.,1
2373,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
1770,AFter the first charge kept going dead after 12 minutes.,0
1964,It's pretty easy.,1
472,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0
885,A piece of cinematic garbage captured on celluloid.  ,0
285,Summary: The witticisms weren't witty.  ,0
1155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
1821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
1518,The phone is sturdy and waterproof.,1
2621,Very disappointing!!!,0
2758,The jalapeno bacon is soooo good.,1
779,None of them are engaging or exciting.  ,0
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
1643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
699,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0
1071,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
444,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0
2410,I don't know what kind it is but they have the best iced tea.,1
1332,The reception is excellent!,1
2033,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
2835,I paid the bill but did not tip because I felt the server did a terrible job.,0
681,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1
1891,"Fits comfortably, came with three sizes of earbud tips.",1
718,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0
1639,Disappointing accessory from a good manufacturer.,0
1617,However I needed some better instructions.,0
1835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
2548,The desserts were a bit strange.,0
2458,Best tater tots in the southwest.,1
1186,Design Flaw?.,0
1220,Freezes frequently4.,0
224,The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,0
2262,The restaurant atmosphere was exquisite.,1
1976,SWEETEST PHONE!!!,1
1431,It finds my cell phone right away when I enter the car.,1
2413,I can assure you that you won't be disappointed.,1
2305,This greedy corporation will NEVER see another dime from me!,0
1667,"Looks good in the picture, but this case was a huge disappointment!!",0
1311,The instruction manual is lacking.,0
2802,Why are these sad little vegetables so overcooked?,0
2266,"The service was not up to par, either.",0
2427,Waiter was a jerk.,0
2940,It was equally awful.,0
842,This movie is possibly one of the most creative works of horror ever.  ,1
2336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
2911,"Very, very sad.",0
2486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
1244,It defeats the purpose of a bluetooth headset.,0
2819,This place should honestly be blown up.,0
1048,This case seems well made.,1
61,All in all I give this one a resounding 9 out of 10.  ,1
1534,Great case and price!,1
2309,I did not expect this to be so good!,1
1101,"Buyer Beware, you could flush money right down the toilet.",0
1398,"Sounds good reasonably priced and effective, Its that simple !",1
706,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0
2311,She ordered a toasted English muffin that came out untoasted.,0
2327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
2221,The service was a bit lacking.,0
2361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
1015,Highly recommend for any one who has a blue tooth phone.,1
1618,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
773,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1
2902,The Buffet at Bellagio was far from what I anticipated.,0
1525,REALLY UGLY.,0
2158,this place is good.,1
724,"Seriously, it's not worth wasting your, or your kid's time on.  ",0
722,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0
2995,I think food should have flavor and texture and both were lacking.,0
2236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
1474,The delivery was on time.,1
118,"Some applause should be given to the ""prelude"" however.  ",1
2809,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1
146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0
1595,"What possesed me to get this junk, I have no idea...",0
194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
803,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0
2206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
2372,"The dining space is tiny, but elegantly decorated and comfortable.",1
2408,Service was fantastic.,1
2368,"The staff are great, the ambiance is great.",1
2779,"Unfortunately, it was not good.",0
1429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
820,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1
1831,All three broke within two months of use.,0
2605,The food is good.,1
2812,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
815,But this understated film leaves a lasting impression.  ,1
823,I struggle to find anything bad to say about it.  ,1
783,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1
2688,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1
2737,"Try them in the airport to experience some tasty food and speedy, friendly service.",1
2165,DELICIOUS!!,1
420,It just blew.  ,0
421,"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1
2934,The place was fairly clean but the food simply wasn't worth it.,0
1726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
1136,Very good stuff for the price.,1
1745,Fantastic buy and will get again for whatever my next phone is,1
1182,The sound quality is good and functionality is awesome.,1
2187,Interesting decor.,1
580,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
238,The poor actors.  ,0
639,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,1
2503,The ambiance was incredible.,1
1443,Restored my phone to like new performance.,1
2401,"Overall, I was very disappointed with the quality of food at Bouchon.",0
175,Everything is appalling.  ,0
461,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
2357,As always the evening was wonderful and the food delicious!,1
2494,Their daily specials are always a hit with my group.,1
1531,They refuse to refund or replace.,0
1723,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
1969,I'm trying to return it for a refund.,0
1206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
2546,Last night was my second time dining here and I was so happy I decided to go back!,1
906,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0
2536,If there were zero stars I would give it zero stars.,0
1051,good protection and does not make phone too bulky.,1
2892,Pricing is a bit of a concern at Mellow Mushroom.,0
320,This is actually a very smart movie.  ,1
2349,"I have eaten here multiple times, and each time the food was delicious.",1
954,"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  ",0
680,It was also the right balance of war and love.  ,1
1665,I could not recommend these more.,0
315,"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1
2762,"The chicken dishes are OK, the beef is like shoe leather.",0
1253,I love all the features and form factor.,1
2282,I waited and waited.,0
2520,"Oh this is such a thing of beauty, this restaurant.",1
1512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
293,Kieslowski never ceases to amaze me.  ,1
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1
2184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
1605,This is infuriating.,0
1649,I'm pleased.,1
417,Even worse than Ticker!  ,0
132,"This was a poor remake of ""My Best Friends Wedding"".  ",0
1258,Excellent hands free tool.,1
1559,"None of it works, just don't buy it.",0
672,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
153,No plot whatsoever!  ,0
448,My 8/10 score is mostly for the plot.  ,1
807,Editing: The editing of this film was phenomenal in my opinion.  ,1
1623,"Plus, I seriously do not believe it is worth its steep price point.",0
1074,This is a beautiful phone.,1
136,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0
94,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0
1934,"You get extra minutes so that you can carry out the call and not get cut off.""",1
1585,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
2257,I as well would've given godfathers zero stars if possible.,0
1298,Customer service was terrible.,0
1302,Someone shouldve invented this sooner.,1
2278,I think not again,0
976,"Just consider the excellent story, solid acting and look of the film as added bonuses.  ",1
361,"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1
1827,Good case!.,1
2155,the staff is friendly and the joint is always clean.,1
1304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
478,"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0
337,By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,0
1252,It's very attractive and appears to be of good quality.,1
246,No actress has been worse used that June Allison in this movie.  ,0
947,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1
2630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
2505,I would not recommend this place.,0
1592,THey are so cool!,1
2785,The nachos are a MUST HAVE!,1
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1
2551,Nice ambiance.,1
2800,I'm super pissd.,0
1415,"I have used several phone in two years, but this one is the best.",1
635,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
2542,The yellowtail carpaccio was melt in your mouth fresh.,1
863,"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",1
1108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
570,"Gotta love those close-ups of slimy, drooling teeth!  ",1
1032,It is unusable in a moving car at freeway speed.,0
819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1
2376,I took back my money and got outta there.,0
1610,It doesn't work in Europe or Asia.,0
2044,"Frozen pucks of disgust, with some of the worst people behind the register.",0
2219,- the food is rich so order accordingly.,1
2202,The warm beer didn't help.,0
1911,So I bought about 10 of these and saved alot of money.,1
235,It was just too horrible.  ,0
185,Highly unrecommended.  ,0
771,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1
565,"This convention never worked well in the past, and certainly doesn't work here.  ",0
951,"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  ",1
2268,Just as good as when I had it more than a year ago!,1
2027,"This hole in the wall has great Mexican street tacos, and friendly staff.",1
758,A standout scene.  ,1
2212,My friend loved the salmon tartar.,1
2611,I checked out this place a couple years ago and was not impressed.,0
1039,worthless product.,0
1565,Disapointing Results.,0
2329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
2250,Owner's are really great people.!,1
1305,I received it quickly and it works great!!,1
1694,The design might be ergonomic in theory but I could not stand having these in my ear.,0
908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0
1315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
2048,If you want a sandwich just go to any Firehouse!!!!!,1
1392,This is a great deal.,1
1011,He was very impressed when going from the original battery to the extended battery.,1
2826,Food quality has been horrible.,0
1804,Yes it's shiny on front side - and I love it!,1
2557,I think this restaurant suffers from not trying hard enough.,0
2751,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
1628,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
767,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0
2509,Thoroughly disappointed!,0
2921,This place is disgusting!,0
2405,Left very frustrated.,0
126,I liked this movie way too much.  ,1
2351,He was terrible!,0
1732,T-Mobile has the best customer service anywhere.,1
2556,AVOID THIS ESTABLISHMENT!,0
2573,"He also came back to check on us regularly, excellent service.",1
1093,The ear buds only play music in one ear.,0
1386,Poor sound quality.,0
492,But this movie really got to me.  ,1
171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0
890,The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  ,0
1544,"sucked, most of the stuff does not work with my phone.",0
1774,"Excellent sound, battery life and inconspicuous to boot!.",1
2827,For that price I can think of a few place I would have much rather gone.,0
791,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1
404,It has northern humour and positive about the community it represents.  ,1
1364,It definitely was not as good as my S11.,1
2058,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
91,The problem was the script.  ,0
479,"Of course, the acting is blah.  ",0
1555,It's AGGRAVATING!,0
1223,"All in all, I'd expected a better consumer experience from Motorola.",0
1557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
2882,We definately enjoyed ourselves.,1
600,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
551,This may be the only bad film he ever made.  ,0
363,Definitely worth checking out.  ,1
1869,"Just really good.. So far, probably the best BT headset I have ever had.",1
1413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
1293,DO NOT PURCHASE THIS PHONE.,0
2092,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
2782,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
2623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0
2391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
1479,I'd like to return it.,0
982,"It's a sad movie, but very good.  ",1
2703,Our server was very nice and attentive as were the other serving staff.,1
197,This movie is BAD.  ,0
830,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1
1956,Just reading on the specs alone makes you say WOW.,1
1433,I highly recommend this modest priced cellular phone.,1
636,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
949,Simply beautiful.  ,1
1360,Nice design and quality.,1
2687,"The decor is nice, and the piano music soundtrack is pleasant.",1
1779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
298,"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",1
1083,The battery runs down quickly.,0
28,It deserves strong love.  ,1
2851,I probably would not go here again.,0
2313,Never going back.,0
221,There are the usual Hitchcock logic flaws.  ,0
588,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
1356,The only thing that I think could improve is the sound leaks out from the headset.,0
2416,But now I was completely grossed out.,0
2697,I was mortified.,0
1661,I'm happy about this purchase- good quality and low price.,1
195,But this movie is definitely a below average rent.  ,0
2634,Ordered burger rare came in we'll done.,0
264,"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",1
1017,So Far So Good!.,1
2822,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1
2167,So don't go there if you are looking for good food...,0
324,I am so thrilled after seeing a movie like this.  ,1
1373,The worst phone I've ever had.... Only had it for a few months.,0
2213,Won't go back.,0
520,It is zillion times away from reality.  ,0
1172,How can that be?The audio quality is poor.,0
1027,I didn't think that the instructions provided were helpful to me.,0
2407,Food was really good and I got full petty fast.,1
1228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
760,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1
629,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1
2977,Overpriced for what you are getting.,0
1943,I'm returning them.,0
1931,This pair of headphones is the worst that I have ever had sound-wise.,0
1146,What a waste of time!,0
1362,"It is light, easy to use, and has very clear reception and transmission.",1
2998,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
1532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
1156,"Nice quality build, unlike some cheap s*** out there.",1
1569,It's A PIECE OF CRAP!,0
1107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
1171,Thank you for wasting my money.,0
946,Brilliance indeed.  ,1
708,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
1653,Utter crap.. Sound quality is TERRIBLE.,0
2854,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
2340,the spaghetti is nothing special whatsoever.,0
1052,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
1179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
1352,"Comfortable, Nice Range, Good Battery Life.",1
2622,The grilled chicken was so tender and yellow from the saffron seasoning.,1
2451,Food was so gooodd.,1
503,The rest of the cast also play well.  ,1
841,I'm still trying to get over how bad it was.  ,0
2955,But then they came back cold.,0
1728,It has everything I need and I couldn't ask for more.,1
2507,My gyro was basically lettuce only.,0
2328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
46,The story itself is just predictable and lazy.  ,0
463,But the premise of the film was so ridiculous: that the President of the U.S.  ,0
2754,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0
1227,I'm a bit disappointed.,0
1888,Don't trust their website and don't expect any helpful support.,0
1858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
